reference,subtype,gene,donors,effect,positive_fraction,p,loo_min,q
nonmidget,HRGC7,SDK1,36,0.08805414560440969,0.5833333333333334,0.12364902145322192,0.06517012621324168,0.17409782220613645
nonmidget,HRGC7,CAV2,36,-2.378593553444643,0.0,1.680295787277147e-07,-2.4344715753339528,1.8716997688066983e-06
nonmidget,HRGC7,TMEM144,36,0.6195006770987708,0.9722222222222222,3.028778024406556e-07,0.5885284770684652,2.5511850852911936e-06
nonmidget,HRGC7,RBMS3,36,-1.6577967511218525,0.0,1.680295787277147e-07,-1.6919177431355203,1.8716997688066983e-06
nonmidget,HRGC7,VAT1L,36,-0.49987354995499356,0.2222222222222222,6.170429385609796e-05,-0.5381494814039066,0.000271498892966831
nonmidget,HRGC7,HFE,36,-0.09590638671555977,0.05555555555555555,0.023129802497359468,-0.11225605760238982,0.04162418445332584
nonmidget,HRGC7,BRINP1,36,0.15576631605534702,0.75,0.0005165250270560988,0.14234621022514124,0.0020112478929618007
nonmidget,HRGC7,PARM1,36,-0.9816455118892612,0.027777777777777776,2.5625819970960283e-07,-1.0181656182581187,2.3248166571592836e-06
nonmidget,HRGC7,VEGFC,36,-0.43722694442096294,0.1388888888888889,0.002255123890787091,-0.5113213547104966,0.006681848565295085
nonmidget,HRGC7,ITGA7,36,-0.40016658493030455,0.2222222222222222,0.00022251049619084406,-0.4426571550140956,0.0009107406355718269
nonmidget,HRGC7,PTPRT,36,-5.066461416606189,0.0,1.680295787277147e-07,-5.154490510312851,1.8716997688066983e-06
