type,mouse,strata,control_cells,injured_cells,injury_difference
3,Aldh2,2,457,255,-0.9920526975615069
3,Klc3,2,457,255,0.14610442655457678
3,Crtac1,2,457,255,-2.026011101007552
3,Neurod1,2,457,255,0.0
3,Dpysl4,2,457,255,-0.5506453926977599
3,Gnai1,2,457,255,-1.8154289975949007
3,Chrnb2,2,457,255,-3.138245138482125
3,Dlgap1,2,457,255,0.003049159657679157
3,Dtx3l,2,457,255,0.19333366845436617
3,Lpar1,2,457,255,-0.4354100558576217
3,Pdlim5,2,457,255,0.12738948741905923
3,Etl4,2,457,255,-1.7626502386042329
3,Fgf18,2,457,255,0.21908499608890505
3,Man1a2,2,457,255,0.6914040001870556
3,Igfbp5,2,457,255,0.38034645123813227
3,Il1rapl2,2,457,255,1.4905959357495862
3,Irx1,2,457,255,0.0
3,Slc16a2,2,457,255,-0.4354100558576217
3,Ostf1,2,457,255,0.31969288025501585
3,Ksr1,2,457,255,0.3642352534850376
3,Slc7a8,2,457,255,-0.6377740332657398
3,Kcnc4,2,457,255,-1.620781119883271
3,Tmem200a,2,457,255,-0.17271374222595376
3,Srpx2,2,457,255,1.152217228755034
3,Tgfbr3,2,457,255,0.1456672735158253
3,Slc44a5,2,457,255,0.7851996199952672
3,Sdk1,2,457,255,0.693075260031341
3,Cav2,2,457,255,-0.4144837648707962
3,Tmem144,2,457,255,0.7548800849283729
3,Rbms3,2,457,255,0.0542296075142783
3,Hfe,2,457,255,-0.22135033524394154
3,Brinp1,2,457,255,-2.4849543050623106
3,Vegfc,2,457,255,-0.11692139788859182
3,Itga7,2,457,255,1.9746395763956999
3,Shroom3,2,457,255,0.12738948741905923
3,Ddx60,2,457,255,0.5627995432766809
3,Kbtbd11,2,457,255,-1.3489793302932662
4,Opn4,2,368,356,0.3883343794880909
4,Rasgrp1,2,368,356,0.2090404041129918
4,Prkcq,2,368,356,-0.5016062632152922
4,Gldn,2,368,356,1.0624104031025339
4,Ndnf,2,368,356,-0.254974153103686
4,Ctxn3,2,368,356,-0.9114019805509805
4,Gdf6,2,368,356,0.2090404041129918
4,Eomes,2,368,356,-0.24275847792917477
4,Ifitm10,2,368,356,1.0441744335568055
4,Igf1,2,368,356,2.0939081950639986
4,Cd24a,2,368,356,3.918075992976039
4,Man1a,2,368,356,2.5808964209319436
4,Vat1l,2,368,356,-1.0058796499346783
4,Tbx20,2,368,356,-0.8444611673208843
4,Ptprt,2,368,356,2.0274531699495157
4,Tmem255b,2,368,356,-0.32846075865695146
4,Dmrtb1,2,368,356,0.09075798580280059
4,Parm1,2,368,356,-2.3257743466653746
4,Dgkg,2,368,356,0.6760946088752946
4,Prph,2,368,356,-2.76969685802962
4,Plekha2,2,368,356,-1.1919461191084086
4,Nppb,2,368,356,-0.29332948485622073
4,Vim,2,368,356,4.66217896113197
4,Enpp2,2,368,356,-0.21880627416644965
4,Igfbp2,2,368,356,2.002599490234214
4,Rgs10,2,368,356,-2.5672056151173357
4,Mgll,2,368,356,-3.042607368834706
4,Phgdh,2,368,356,3.3704510150110445
4,Mei4,2,368,356,0.04815704037431434
4,Lmo1,2,368,356,1.6678610493041655
4,Myo1b,2,368,356,-0.8149020150732103
4,Pdzd2,2,368,356,-0.4145675944317002
4,Lamb1,2,368,356,-0.47187648483824285
4,Rbpms2,2,368,356,-3.4528312892610185
4,Nell2,2,368,356,-1.4232216289947175
4,Plch2,2,368,356,-1.8339920894970598
